边 : 字 0.0515842404875 | 亲 0.055637030726 | 景 0.0575127583749 | 藏 0.0644112399972 | 边 0.0670720854676 | 判 0.0725851002573 | 苏 0.0743319970543 | 类 0.083212326147 | 树 0.0836415024504 | 绍 0.0860969135025 | 责 0.0913204381213 | 房 0.0929445356894 | 止 0.0965946518374 | 号 0.0966205213141 | 河 0.0972956113869 | 客 0.100862778948 | 写 0.10341207245 | 富 0.104807801633 | 菜 0.1126050172 | 约 0.11773830607 | 油 0.119073481935 | 售 0.122507067308 | 谈 0.123112576746 | 星 0.123387996256 | 索 0.124932057801 | 票 0.130813333366 | 则 0.133311601222 | 密 0.136725437529 | 试 0.141150033163 | 图 0.142049105932 | 血 0.144696162959 | 洋 0.145617971408 | 幕 0.14614137784 | 湾 0.148654214363 | 师 0.149547177237 | 语 0.150047057961 | 型 0.152005289201 | 障 0.152070008605 | 税 0.156380433255 | 城 0.156533978373 | 土 0.156636304059 | 疗 0.158873260606 | 留 0.163524342151 | 功 0.165767977113 | 彩 0.167497898439 | 迹 0.169977057864 | 身 0.176833111934 | 卖 0.178050357426 | 空 0.178501559541 | 获 0.180164097807 | 
艇 : 踪 0.0326175817943 | 梯 0.0398880950841 | 耗 0.0404725334324 | 欠 0.0433582316284 | 泊 0.0480482208898 | 翼 0.0509230419301 | 译 0.0514609185321 | 御 0.0544661169119 | 溪 0.0561200036565 | 娜 0.0569889724869 | 扰 0.0574968009283 | 逢 0.0588864501532 | 拟 0.0597478919441 | 刷 0.0599343346623 | 旋 0.0613730174133 | 柴 0.0617751779625 | 霞 0.0618985731173 | 稀 0.0625229737925 | 孕 0.0626541435452 | 稽 0.0627805255796 | 盼 0.0649631534765 | 隔 0.0669384491578 | 洽 0.0683796045891 | 炎 0.0687601339006 | 叹 0.0696061197352 | 稻 0.0697599929329 | 慨 0.0700443679144 | 饰 0.070579007805 | 凤 0.0716065380332 | 癌 0.0716964218739 | 冻 0.0721776016926 | 虹 0.0727211699171 | 徒 0.0729798426389 | 暗 0.0729899251271 | 烂 0.0732579458323 | 锡 0.0748547207394 | 尾 0.0756686949848 | 玛 0.0780206729066 | 捕 0.0786834064262 | 糖 0.0796443685959 | 彦 0.0811432962681 | 漏 0.0819696699601 | 赋 0.0832299247052 | 愧 0.083704507684 | 拳 0.0837362299125 | 骤 0.0840278711273 | 伸 0.0841139457865 | 侦 0.0849855126903 | 屈 0.085020359676 | 缔 0.085128262641 | 

言 : 判 0.0450657311249 | 房 0.0479483789975 | 客 0.0600227046718 | 彩 0.0647864581891 | 写 0.0659539715466 | 洋 0.0698214690918 | 岛 0.0717841183641 | 疗 0.0722829513084 | 售 0.0748193533283 | 灾 0.0779113206167 | 测 0.0785787686324 | 字 0.079665197524 | 索 0.0800108807154 | 守 0.0802973655122 | 岸 0.0824637904149 | 票 0.0835426341572 | 染 0.085217410243 | 语 0.0882588086617 | 血 0.0883030448932 | 障 0.0885249838082 | 卖 0.089508036806 | 密 0.0932022810157 | 景 0.0952702863105 | 菜 0.0953161409683 | 留 0.099781213794 | 迹 0.101028917706 | 值 0.101801204737 | 疾 0.102810134152 | 试 0.102852015117 | 型 0.104299727587 | 图 0.104826415448 | 购 0.10569564687 | 藏 0.105841857007 | 雪 0.106185677518 | 累 0.109886135231 | 湾 0.109910159 | 警 0.110780617103 | 征 0.116842353164 | 付 0.117652194125 | 控 0.121684333861 | 贵 0.123632722203 | 约 0.124879304468 | 税 0.12536484127 | 握 0.12566505217 | 舞 0.126527372456 | 福 0.12683964518 | 树 0.127175251303 | 裁 0.127279818407 | 空 0.128231061926 | 升 0.128591934357 | 

史 : 身 0.0836211820836 | 型 0.103656069223 | 告 0.103705481042 | 险 0.10892849413 | 划 0.115308647597 | 亲 0.122046318061 | 值 0.123774969743 | 德 0.126951558593 | 师 0.128290681566 | 洋 0.136936636908 | 图 0.141982434518 | 村 0.14572282635 | 城 0.147474724928 | 写 0.148350540332 | 空 0.148890536243 | 视 0.155205642897 | 责 0.157345936212 | 约 0.157931993696 | 价 0.160256750735 | 购 0.161652000358 | 式 0.162266685246 | 路 0.164048014011 | 类 0.164274957946 | 举 0.166504874849 | 势 0.167151845058 | 试 0.170152554009 | 客 0.173824901969 | 语 0.174869606338 | 河 0.179628267338 | 边 0.179928403055 | 销 0.180485323496 | 演 0.18109391592 | 围 0.181517352016 | 卖 0.182235627453 | 密 0.183230361433 | 点 0.185409488749 | 念 0.185603388643 | 富 0.18674653141 | 警 0.186826184222 | 土 0.187812228722 | 税 0.193079449344 | 灾 0.193137858016 | 镇 0.194803430214 | 彩 0.196517239362 | 票 0.199665457339 | 号 0.199930868883 | 略 0.200946623495 | 留 0.201481344226 | 落 0.203166082756 | 士 0.204115608114 | 

服 : 运 0.142167956058 | 军 0.149272933151 | 任 0.178157477233 | 相 0.197778224838 | 举 0.203182611614 | 兴 0.203260414538 | 转 0.207859757879 | 价 0.211233565758 | 调 0.213521190925 | 专 0.226707800166 | 商 0.25934119705 | 投 0.261900711145 | 参 0.273119614271 | 通 0.274960692251 | 创 0.321055061742 | 落 0.330065693651 | 城 0.348314753804 | 服 0.356048332156 | 带 0.367504485344 | 核 0.375604718171 | 获 0.379054375168 | 采 0.380051271624 | 约 0.38184336981 | 试 0.383990461728 | 认 0.390693552223 | 销 0.408305367724 | 责 0.413277340695 | 青 0.420062577322 | 安 0.421136882024 | 演 0.42467488848 | 形 0.434759638128 | 型 0.437695628479 | 前 0.440984921633 | 印 0.444419488979 | 农 0.44494410922 | 社 0.464822458712 | 取 0.466268934851 | 空 0.470915522051 | 班 0.473251422452 | 谈 0.475454529759 | 已 0.485254729244 | 救 0.493464679869 | 客 0.50825392067 | 税 0.512962415309 | 文 0.515394941832 | 卫 0.521268401347 | 足 0.522575626501 | 划 0.523550511004 | 具 0.535211627826 | 购 0.551877713484 | 

专 : 转 0.114384611228 | 兴 0.132236219021 | 获 0.151374351237 | 参 0.153743334655 | 举 0.171603978895 | 带 0.173617343418 | 运 0.186908180147 | 价 0.199612079375 | 采 0.207714718524 | 调 0.211803906121 | 专 0.214243744055 | 创 0.214777350216 | 落 0.216911057161 | 相 0.22491426871 | 税 0.231424863221 | 核 0.238151911125 | 试 0.242289640272 | 认 0.2508348549 | 商 0.251187151574 | 投 0.261638993501 | 班 0.277560307081 | 城 0.282556301325 | 销 0.283511968278 | 八 0.284074653709 | 演 0.285681741715 | 救 0.287035718866 | 约 0.287651673559 | 找 0.293776075649 | 写 0.297223443031 | 送 0.304505110435 | 已 0.311069068872 | 留 0.311112778331 | 线 0.322240317586 | 购 0.32257991008 | 型 0.323256570138 | 客 0.326932606277 | 任 0.329633670616 | 军 0.331569566836 | 室 0.341124500902 | 具 0.345854747094 | 责 0.347971579127 | 空 0.348928023779 | 取 0.354213069152 | 图 0.356200032303 | 足 0.361370709984 | 谈 0.362743002691 | 课 0.368056995897 | 曾 0.375701312478 | 印 0.380062254577 | 均 0.385978230906 | 

菩 : 阙 0.0616563960974 | 糯 0.0617711238728 | 鳖 0.0618741071314 | 濮 0.0621980680946 | 攥 0.0624754987201 | 懵 0.062526616981 | 槌 0.0627786119251 | 裘 0.0628456027611 | 黝 0.0628714504428 | 羹 0.0630484428115 | 孢 0.0632235992821 | 撮 0.063322125426 | 锨 0.0633330479518 | 簧 0.0633736813051 | 狡 0.0635946165753 | 掖 0.0636822555445 | 嶙 0.063714224434 | 箴 0.0637234415616 | 玷 0.0638272343172 | 睬 0.0639069762808 | 宓 0.063959385351 | 釜 0.0640040800728 | 佟 0.0640423272646 | 胥 0.0640602674202 | 嗅 0.0641152005845 | 潼 0.0643115162209 | 钠 0.0643661497075 | 陛 0.064366813709 | 呻 0.0644584547316 | 箫 0.0645853039051 | 笙 0.0646332052038 | 疹 0.0647536981699 | 愕 0.0648143485791 | 剽 0.0648583316925 | 翌 0.0649822285718 | 铧 0.0650259918005 | 掰 0.0650776828075 | 糠 0.0650833326304 | 粕 0.0651451164359 | 薹 0.065174688786 | 熹 0.0655504006476 | 楞 0.0655714584161 | 娑 0.065628400985 | 簌 0.0656950169321 | 钛 0.0658107106998 | 丐 0.0661560843672 | 偎 0.0661592575951 | 冢 0.0661615985293 | 撇 0.0662779196835 | 镍 0.0667514227688 | 

． : 步 1.81406944873 | 次 2.98372826799 | 只 3.42142438967 | 至 3.63558277811 | 们 3.92889115383 | 项 4.353288597 | 坚 4.48580061455 | 他 4.5080765133 | 但 4.55665625422 | 今 4.66114647853 | 切 4.66674900632 | 批 4.77501332778 | 由 4.90441006175 | 府 5.23251268738 | 促 5.40660810684 | 两 5.51657326066 | 该 5.57627425319 | 此 5.78730932791 | 千 5.92407875729 | 支 5.95265385363 | 改 5.97581325149 | 二 6.05823167347 | 于 6.07702564374 | 特 6.21763239554 | 近 6.23149520211 | 晚 6.24161730583 | 继 6.25456413967 | 第 6.30523877416 | 增 6.33331417204 | 你 6.35823240373 | 消 6.45306005209 | 左 6.45535300874 | 五 6.53726413911 | 极 6.53994896775 | 各 6.60392313523 | 求 6.61676257916 | 优 6.64618114253 | 既 6.66667398866 | 研 6.67276047117 | 目 6.74560433194 | 就 6.80504416257 | 抓 6.87979827073 | 半 6.94353324018 | 已 6.9523375799 | 将 6.96080913661 | 印 6.98871895737 | 形 6.9932009167 | 是 6.99423182356 | 青 7.0048357583 | 创 7.02176320253 | 

认 : 专 0.113876392911 | 创 0.116489677475 | 具 0.140409945233 | 参 0.15456052159 | 采 0.154766412478 | 印 0.15899182406 | 认 0.163585264759 | 支 0.188707143901 | 转 0.195487872382 | 投 0.208055234957 | 兴 0.218136322119 | 带 0.221275376085 | 调 0.223501453319 | 青 0.229124759883 | 获 0.23173048399 | 已 0.25619134714 | 扩 0.258870218963 | 抓 0.261278541077 | 商 0.263564183097 | 半 0.263564527649 | 足 0.265178347637 | 谈 0.27304342669 | 审 0.273413609702 | 继 0.274356325489 | 试 0.275231941065 | 约 0.278604345559 | 曾 0.278651499684 | 连 0.282083195574 | 讲 0.284896505592 | 农 0.288545422158 | 八 0.29283788981 | 服 0.29729732082 | 形 0.29914883465 | 减 0.305926141522 | 该 0.320825560989 | 举 0.331759045721 | 相 0.334379704296 | 任 0.346192076563 | 功 0.355759812482 | 独 0.356641760512 | 城 0.362814198659 | 由 0.37133370682 | 目 0.382218950683 | 找 0.392751646138 | 课 0.392971672215 | 均 0.395319635477 | 救 0.426959805928 | 类 0.429557584627 | 税 0.434815105755 | 取 0.439553201397 | 

运 : 价 0.148426944957 | 责 0.16646863884 | 运 0.192593087948 | 兴 0.193401393692 | 举 0.212990174129 | 军 0.214292430816 | 划 0.219627591404 | 城 0.222407191348 | 落 0.229945504275 | 师 0.234895706225 | 型 0.23860723331 | 视 0.247952093333 | 相 0.254604900598 | 身 0.256260921097 | 空 0.257944734361 | 客 0.273773256302 | 式 0.273798321008 | 演 0.303638261624 | 值 0.318614592977 | 通 0.319120620457 | 购 0.323245000796 | 销 0.324975422096 | 试 0.335389267866 | 房 0.336364916 | 转 0.337198862017 | 约 0.340276464528 | 德 0.348567140006 | 商 0.352974401957 | 围 0.378589138911 | 警 0.384574315732 | 路 0.388688846734 | 线 0.390517657364 | 图 0.390760292296 | 写 0.403574584186 | 易 0.406506886255 | 送 0.416246931093 | 洋 0.420124517884 | 售 0.42398747659 | 村 0.427717172274 | 参 0.430109273873 | 获 0.432532185717 | 核 0.44359351388 | 带 0.445963943238 | 税 0.447277239688 | 入 0.448514941443 | 士 0.452003835931 | 调 0.452881527418 | 赛 0.454620523517 | 任 0.458236299559 | 土 0.458839334162 | 

钮 : 跤 0.0314836258005 | 虞 0.0321217724666 | 髦 0.0324849246664 | 撬 0.0327403873096 | 穹 0.0327414196385 | 溅 0.0328141330258 | 侄 0.032855838047 | 疤 0.0331184676518 | 氯 0.0333747491986 | 邃 0.0333787218376 | 锄 0.0335136588455 | 锚 0.0335183208842 | 矫 0.0336305241504 | 刨 0.0336924785153 | 捎 0.0337112569444 | 馒 0.0339881598413 | 纂 0.0340084590949 | 沁 0.0340789808602 | 弓 0.0340813706337 | 钮 0.0342237155186 | 翘 0.034366830527 | 刁 0.034478983122 | 贱 0.0345035921703 | 辗 0.034537705528 | 揪 0.0345774053603 | 榨 0.0346141186779 | 劾 0.0346150026227 | 孵 0.0346405772387 | 倚 0.0347537822231 | 坯 0.0349379982736 | 酱 0.0349892174744 | 臃 0.0350173665936 | 祠 0.0350939503026 | 掷 0.0351712876104 | 炜 0.0352436649963 | 坍 0.0353958827975 | 坞 0.0356686074981 | 蓓 0.0356941614698 | 椰 0.0358869094897 | 宠 0.0360114643939 | 珀 0.0362694682963 | 潢 0.0362852700818 | 琐 0.0363845329792 | 莓 0.0363943273844 | 梳 0.0364704001211 | 殴 0.0365120665378 | 峭 0.0367679516024 | 逗 0.0369119656954 | 藉 0.0369217682026 | 姨 0.0370655826367 | 

蟾 : 耒 0.0381705004489 | 疡 0.0382522889844 | 骧 0.0382839254999 | 婵 0.038366053732 | 拗 0.0383672067411 | 芥 0.0383776297535 | 隽 0.0383812986909 | 妩 0.0385428776359 | 谑 0.0386191636714 | 濯 0.0388076605706 | 畿 0.0388089539218 | 茔 0.038834764356 | → 0.0388629304683 | 銮 0.0390472286616 | 啬 0.0391039885199 | 诋 0.0391333820538 | 戕 0.0391351760558 | 耆 0.0391383715827 | 镂 0.039174793734 | 窿 0.0392724469136 | 赓 0.039309754815 | 俐 0.0394157197595 | 搐 0.039459122497 | 菩 0.0394941112811 | 龛 0.039512548331 | 珲 0.0395266823653 | 邕 0.0395599019093 | 硼 0.0396212627664 | 犟 0.0396988218473 | 汴 0.0397236067882 | 楣 0.0398147068536 | 獭 0.039826890464 | 盹 0.0398830548135 | 砾 0.0399506917476 | 桅 0.0399753319005 | 妓 0.0399854133638 | 麒 0.040092467888 | 饯 0.040114117373 | 酉 0.040160035828 | 悯 0.0401691221645 | 噜 0.0401907232774 | 圻 0.0402617415887 | 浜 0.0402860240173 | 琨 0.0402864382972 | 辊 0.0403241381248 | 骝 0.0403954182771 | 狞 0.0404397241315 | 旖 0.0405361698966 | 烬 0.0405672128492 | 唏 0.0405959896075 | 

腈 : 瑕 0.0521669061495 | 橘 0.052248601892 | 篝 0.052336949262 | 捺 0.0523399393903 | 偎 0.0523531991262 | 钛 0.0523921173972 | 亘 0.0524752090194 | 羌 0.052526877341 | 遒 0.0525778593023 | 掖 0.0527650855876 | 吭 0.0530055883657 | 掂 0.05306761096 | 嗅 0.0531028357654 | 丐 0.0533450758165 | 镍 0.053448365301 | 笙 0.0534783302486 | 疹 0.0535650133597 | 眩 0.0535849209641 | 芋 0.0536620376601 | 娣 0.0537478887218 | 剽 0.0539027301774 | 熹 0.0539737484229 | 簧 0.0539753555779 | 潼 0.0540070081877 | 濮 0.0545430182166 | 惭 0.0547061518958 | 痫 0.0547615956646 | 葩 0.0548274962651 | 黝 0.0548380464117 | 楞 0.0550150575688 | 裘 0.0550920452184 | 阙 0.0553598308335 | 羹 0.0554947533687 | 邬 0.0555333645721 | 铧 0.0558185429005 | 赝 0.0559899474112 | 淆 0.0560584321783 | 糯 0.0561117270423 | 啪 0.0562027727532 | 芸 0.0562950385881 | 鳖 0.0566652515359 | 耄 0.0567579977297 | 孢 0.0567658412663 | 藜 0.0567720035187 | 宓 0.0568694358449 | 槌 0.0568913802486 | 蝗 0.0573465443658 | 孀 0.0573525678083 | 娑 0.0573934759439 | 粕 0.0575049076383 | 

血 : 卫 0.0812760109586 | 福 0.0907881787827 | 购 0.108095840971 | 图 0.109990046116 | 铁 0.110640498048 | 空 0.117874211398 | 脱 0.124941135815 | 密 0.1327188792 | 征 0.133131565205 | 歌 0.135595776071 | 试 0.139279339419 | 演 0.140517371322 | 土 0.160203026118 | 货 0.160408056182 | 宝 0.1623321422 | 卖 0.165239527302 | 语 0.175618380732 | 客 0.1774335594 | 死 0.178211270234 | 伟 0.180393624258 | 救 0.192053844832 | 约 0.192947331236 | 找 0.202164516512 | 销 0.207361412832 | 伤 0.212139990497 | 房 0.21519527471 | 留 0.222597260701 | 补 0.225009361914 | 血 0.225710047069 | 警 0.233301707527 | 税 0.234573985917 | 升 0.235830667812 | 洋 0.242001503693 | 票 0.24664752677 | 围 0.246897654151 | 舞 0.250192789784 | 禁 0.250433734321 | 写 0.253431965384 | 裁 0.254028979657 | 叫 0.254047135482 | 欢 0.258781641986 | 曾 0.265544955147 | 贵 0.271449503548 | 送 0.273765464617 | 彩 0.276203331381 | 庄 0.277704334803 | 瑞 0.284079386613 | 汽 0.288662674316 | 灵 0.291444150665 | 沙 0.294020986675 | 

笔 : 幸 0.0420343059441 | 阵 0.0435406930467 | 硬 0.0459224658267 | 桥 0.0471397288542 | 坐 0.0500117491925 | 灵 0.0542758171425 | 穿 0.0573987225593 | 庄 0.060361127904 | 朋 0.0604336495599 | 敢 0.0610577211555 | 勤 0.061068221043 | 摆 0.0613904068803 | 墨 0.0628613164414 | 戏 0.0634348249393 | 邀 0.0684205232251 | 杂 0.0697055991627 | 微 0.0705494913382 | 振 0.0723620655214 | 软 0.0728891099877 | 涉 0.0732318945098 | 跟 0.0745596285358 | 塑 0.0749043383722 | 债 0.075937477456 | 援 0.0760629948845 | 杰 0.0776044261464 | 封 0.0783953983926 | 裁 0.080605018857 | 笔 0.0831237360729 | 宽 0.0833883258669 | 净 0.0861012325256 | 卷 0.0861648665499 | 凭 0.0878200409612 | 浙 0.0888352007258 | 奔 0.0889222681123 | 皮 0.0929610779393 | 触 0.0945141534919 | 亮 0.0952521765965 | 哲 0.096062317162 | 痛 0.0963255570164 | 董 0.0969759907675 | 佳 0.0976875492791 | 茶 0.0978234823315 | 诸 0.098160759611 | 宗 0.099208441205 | 汤 0.0999683717172 | 迈 0.10035752199 | 叫 0.102379454944 | 某 0.103353628219 | 付 0.104248373928 | 尊 0.104667237393 | 

阄 : 坨 0.0400620208531 | 褶 0.0403517913513 | 圪 0.0403751337322 | 脓 0.0404016106775 | 琨 0.0405208730335 | 笪 0.0405698935528 | 稣 0.0406365345734 | 搪 0.0406894601605 | 圻 0.0408123527824 | 砾 0.0409911534559 | 啄 0.0409971781371 | 赅 0.0410275661771 | 窿 0.0410401579699 | 赓 0.0410657994785 | 犟 0.0410886988762 | 卤 0.0411148781782 | 娼 0.0411831753232 | 珲 0.0412238150629 | 谑 0.0412482157751 | 琬 0.0412747697387 | 铂 0.0412855152552 | 酉 0.041292701796 | 撷 0.0413125573613 | 耆 0.0413995745953 | 岷 0.0414129026604 | 撵 0.0414652716094 | 烬 0.0414838893692 | 楣 0.0415059645019 | 徨 0.041545049988 | 彷 0.0415970666935 | 畿 0.0416050492317 | 悯 0.0416317735843 | 糅 0.0416445555814 | 浜 0.0417131349619 | 桅 0.0418317777913 | 怏 0.0419437993662 | 芷 0.04194851717 | 佘 0.042213260302 | ┐ 0.0423095777061 | 邕 0.0423744521085 | 镂 0.0424201321741 | 蹭 0.0424667524726 | 獭 0.0424901358878 | 噜 0.0426204957896 | 锏 0.0426448435448 | → 0.0426448523843 | 漱 0.0426451181177 | 轼 0.0426654588596 | 诧 0.042673188883 | 轶 0.0427085578308 | 

